S1_TN	S1_TP	S2_TN	S2_TP	S3_TN	S3_TP	S4_TN	S4_TP	S5_TN	S5_TP	S6_TN	S6_TP	S7_TN	S7_TP
OR7E154P	2	2	3	25	21	11	19	6	1	4	13	6	7	4
GLYATL1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2184C24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-351I24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-583F24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-805J14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A2P	0	0	8	3	18	0	0	0	3	8	12	5	23	0
OR4A12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7E10P	19	20	5	20	6	11	13	29	20	31	3	14	3	8
RP11-111A24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEX3A	1	3	0	4	4	1	0	2	0	1	1	1	1	4
PTP4A1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.10	180	150	238	224	218	266	157	203	247	177	320	343	199	130
RP11-801G16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2005H7.1	1675	1569	1393	1886	928	1204	1222	1075	2184	2319	1044	1338	1566	1551
RP11-691N7.6	137	101	414	441	284	286	237	364	656	618	929	1043	286	740
RP11-317J19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3138F19.1	1	0	0	0	0	0	0	0	0	0	4	1	0	2
HMGB1P42	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BRD9P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-583F24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-46H24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-334E6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-661A12.7	20	17	5	46	7	61	3	20	15	19	4	22	3	6
OR10V3P	8807	7374	4046	4659	3365	2829	5675	5496	6933	8020	2305	2278	2444	3504
CTD-3076O17.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
RP11-958J22.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-664H7.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HNRNPCP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5BD1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64DP	1	0	0	0	0	1	0	0	0	0	0	3	0	0
OR5M2P	0	0	0	0	0	0	0	0	1	0	0	1	0	0
RP11-480O10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-20J1.1	0	0	0	0	10	1	0	0	1	0	0	0	0	0
RP11-672A2.7	65	99	249	134	224	122	35	75	173	139	527	220	28	118
RP11-867G23.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-726E6.1	16	22	17	23	9	11	2	9	29	19	36	26	10	71
AP000889.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L1P1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CTD-2616J11.3	0	0	2	1	0	0	0	0	0	2	2	0	0	0
RP11-672A2.1	0	2	1	3	1	2	0	0	3	2	1	13	0	0
RP11-867G23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM53CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1H15.1	425	272	333	456	302	306	115	130	542	535	295	357	769	495
OR2AL1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2140G10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4D7P	109	136	239	252	152	222	491	642	139	116	164	160	65	95
RP11-50B3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1G	0	0	0	14	0	4	0	2	0	1	1	5	4	5
RP11-148O21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-27P7.1	15	16	4	58	7	64	93	15	27	51	4	70	20	97
AC084121.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022182.1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
EGLN1P1	26	10	15	20	29	28	46	4	16	4	8	20	2	35
RP11-793I11.1	47	20	25	54	29	46	5	10	38	86	19	25	7	0
GVINP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-320L11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-81M19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-142C4.5	1	0	2	0	1	0	1	4	2	2	1	0	2	0
CTD-2537O9.1	18	8	5	20	39	23	23	172	2	38	18	20	0	55
CKLF-CMTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-531H8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-680F20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR1-IT1	4	3	8	10	4	3	2	0	8	1	3	1	0	1
RP11-119D9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDPSP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-665E10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5AP1P	0	0	0	5	0	0	0	0	0	0	0	1	0	0
RP11-1118M6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAMP2	2	0	1	1	7	4	0	23	4	5	3	2	10	18
SLC25A47P1	1	1	1	1	0	0	2	1	2	0	3	1	0	1
RP11-163O19.3	2	1	0	1	0	2	21	1	0	10	0	6	4	5
CTD-2132H18.3	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AC022182.3	0	0	0	0	0	2	0	0	0	1	0	0	0	0
RP11-529A4.9	2	0	0	1	1	0	0	0	1	1	1	1	1	0
RP11-674C21.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPCP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYS1-DBNDD2	0	0	0	5	0	0	0	0	2	0	1	0	0	0
OR10AK1P	1	7	5	30	0	12	0	0	1	10	2	10	0	0
RP11-672A2.4	2	1	1	0	0	0	0	0	1	2	0	2	0	0
RP11-680E19.1	2	5	35	32	33	61	5	5	13	31	46	54	3	45
RP11-661A12.12	2	2	4	6	4	0	8	0	1	3	5	2	0	7
RP11-252C15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-535A19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-496I9.1	0	0	1	2	0	0	0	0	0	0	0	1	0	0
RP11-670N15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7E160P	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-529A4.4	2	4	0	5	1	0	0	0	2	3	0	3	0	1
RP11-430L3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2019O4.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP3-400B16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-375D13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-109E10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-37O16.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR9G2P	0	4	7	4	14	11	0	1	0	1	1	1	0	4
CTD-2530H12.2	1	0	0	0	0	0	1	0	0	0	0	1	1	1
SLC22A18AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.5	1	0	8	14	0	7	28	28	5	9	1	7	1	7
RP11-7I15.3	0	0	0	0	0	0	0	0	0	0	1	1	0	0
RP11-99C10.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KRT18P58	30	68	140	161	136	95	81	273	66	66	105	87	31	79
OR4A40P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-50B3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF185-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-17K7.3	467	676	760	1247	826	1124	393	1359	640	884	718	1037	439	1101
AP001372.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GVINP1	18	20	60	35	41	29	33	16	38	54	40	15	14	9
AF131215.6	0	0	0	4	0	0	0	0	0	0	0	0	0	0
RP11-574M7.1	169	180	295	373	215	267	298	516	321	274	364	418	172	124
OR4V1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-890B15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-648O15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-728F11.3	12	7	2	23	32	26	49	21	14	12	7	19	2	9
RP11-203M5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-51B23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5BN1P	16	13	17	15	13	16	22	15	13	11	12	9	12	5
RP5-901A4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-109L13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA2	142	171	135	221	102	157	98	340	158	179	94	169	192	175
RP11-659P15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2523D13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-867G23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA3P2	21	28	33	55	70	84	103	137	36	28	52	38	16	14
RP11-113D6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPV17L2	390	369	246	455	330	529	444	1063	839	960	330	474	361	366
RP11-661A12.5	4	17	1	21	0	12	0	1	6	35	4	23	1	15
TMEM9B-AS1	215	156	138	125	154	132	32	56	314	291	114	139	147	157
RP11-945A11.2	1	0	0	2	0	0	34	30	2	2	2	0	0	0
RP11-159H22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-831A10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2516F10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-748C4.1	0	6	3	3	0	5	0	0	3	7	1	3	0	10
DEFB109P3	2	1	3	1	0	4	0	0	6	3	2	1	0	0
RP11-1167A19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-91I20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G2-DDX39B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-702F3.2	23	22	37	54	12	18	23	6	27	25	7	21	4	3
RP13-870H17.3	1	2	5	1	1	2	3	0	2	4	4	3	0	1
RP11-770J1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-676F20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-23J9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-142C4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3096P4.1	80	69	72	172	76	138	49	271	115	123	77	89	32	78
PTPRJ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKNOX2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-655M14.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR13P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-802F5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTC-378H22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-716D19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC084121.14	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-10A7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-334E6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-466P24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-37O16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPCML-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-482L11.1	6	13	9	15	6	9	0	1	7	17	10	5	13	1
RP11-513D5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-152H18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2BNB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8L1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-712L6.7	104	136	123	180	130	167	165	179	183	201	144	157	170	146
RP11-701I24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-484D2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-110I1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-326C3.7	1	0	2	1	0	0	0	0	2	1	1	0	1	0
SCARNA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-632K20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-791M13.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2537L20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-263C24.3	0	0	2	0	9	2	0	0	0	0	2	0	0	1
RP11-529A4.12	0	6	1	0	0	8	0	0	0	2	5	2	1	1
OR7E15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-698N11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-236J17.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1236K1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-684B2.3	28	20	18	22	12	7	26	5	36	38	34	26	6	20
OR4C9P	0	0	0	0	0	0	0	0	0	0	4	2	0	0
AP000445.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-98J9.2	18	38	39	32	14	26	5	13	31	35	24	19	8	1
RP11-702H23.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-144G6.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-98J9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-37O16.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-687M24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-619A14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-266E8.2	0	0	0	0	2	1	0	0	2	1	2	1	0	0
AF131215.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-728D14.6	3	0	1	3	0	0	0	1	7	0	0	2	0	0
RP11-688I9.4	0	0	0	0	0	0	0	0	1	3	0	1	0	0
CTD-2342I9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A19P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-677M14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1160K1.8	6	3	5	9	12	7	5	10	17	9	5	4	1	0
RP11-664I21.6	4	0	7	3	38	3	0	0	1	18	0	20	3	3
ATP5F1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-531H8.1	3	5	15	3	8	17	2	0	14	7	9	8	0	3
OR8K4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7E158P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG5P3	0	0	0	0	0	2	0	0	1	0	0	0	0	0
RP11-494M8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001257.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-100N3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A13P1	21	3	12	6	7	1	1	56	15	7	3	3	4	0
RP11-179A10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INMT-FAM188B	0	0	1	0	0	0	0	0	0	1	1	0	0	0
KIRREL3-AS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TUBB4BP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2562J17.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-831H9.3	47	21	41	35	31	33	9	9	51	39	28	16	70	33
RP11-113K21.2	99	94	87	119	110	92	111	66	118	99	114	97	166	180
RP11-1081L13.4	360	258	280	502	252	316	827	470	595	558	441	597	335	324
RP11-680F20.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-65M17.3	128	168	165	193	325	351	175	555	208	294	324	423	211	196
RP11-313I2.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-167J8.3	1	0	1	2	1	1	0	0	6	0	5	2	0	1
RP11-429J17.7	0	0	2	0	1	1	1	0	0	0	0	0	0	0
RP11-702H23.2	9	14	1	6	17	2	0	0	2	1	3	1	0	0
RP11-672A2.3	9	5	6	6	5	0	1	0	12	4	23	3	5	1
OR8B7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-872D17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-794P6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-350N15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-573E11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTLP6	160	181	86	113	124	110	86	59	138	212	88	83	27	114
RSF1-IT2	678	606	1119	528	911	411	112	249	1292	1022	1280	695	368	305
DPP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-563P16.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTD-2547H18.1	171	202	202	294	183	160	147	309	272	314	177	219	247	244
RP11-469N6.3	0	0	1	4	1	2	2	0	1	0	2	0	0	1
RP11-108O10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-631K18.3	3	0	6	1	2	5	0	1	0	6	2	3	3	2
RP11-215H18.5	523	547	1565	1554	1206	894	1481	1213	1085	1333	1738	1578	878	1192
TRIM77BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX16-NPEPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKHD1-EIF4EBP3	188	129	391	305	223	159	191	192	513	265	432	353	335	606
KRTAP5-9	594	517	552	773	746	688	884	857	685	576	835	643	764	515
RP11-94P11.4	5	13	8	27	10	18	11	13	21	33	41	23	23	7
BRK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC139103.1	0	1	0	0	0	2	1	0	2	0	0	3	0	1
RP11-347H15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2509G16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCSP28	14	10	8	6	9	8	0	0	16	16	13	15	0	1
RP1-68D18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-90K17.2	0	2	7	2	7	0	8	11	12	14	9	12	2	13
TCEB1P22	0	0	1	2	2	2	0	2	0	0	5	1	2	0
CTD-2589M5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000442.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBTFL1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
RP11-113K21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-529A4.10	23	8	22	15	22	18	71	14	20	31	13	11	2	5
OR5M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6IP1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-716H6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-481A20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-413N13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5D15P	1	5	4	6	4	0	0	1	1	2	11	2	0	1
AF131216.5	0	0	0	0	0	0	0	2	0	0	0	0	1	0
RP11-536I6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-665E10.1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.13	52	80	192	135	122	117	113	54	121	98	112	65	118	155
RP11-326C3.2	2619	2162	24578	16852	16543	12451	13457	14452	10391	7805	34042	22554	13025	10424
RP11-680F20.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-708B6.2	2	1	1	0	10	5	0	0	0	4	6	0	3	0
CTD-3012A18.1	13	12	3	2	13	7	7	2	7	13	5	9	0	13
OR8B5P	0	0	3	1	2	0	2	1	0	0	0	0	0	0
RP11-802E16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-45A12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA15P	959	987	1025	1418	1050	1145	1248	1112	1429	1225	1417	1703	1020	1139
SDHCP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-23J9.4	0	0	0	1	0	3	0	0	1	0	0	3	0	0
RP11-680G24.1	140	167	16	122	21	104	45	13	218	342	9	142	100	28
RP11-1167A19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-882G5.1	5122	3340	3438	3289	3455	2635	5886	5151	7382	6479	3424	3469	3930	4391
RP11-677N16.1	10	8	14	25	12	9	11	14	24	14	9	7	16	10
RP11-430H10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-347H15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2-AS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-677M14.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-297N6.4	0	1	1	0	0	6	0	0	2	0	1	1	0	0
HNRNPRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8X1P	2	1	2	2	0	3	5	2	3	7	2	2	1	1
RP11-661A12.9	2447	2299	3146	3189	2301	2126	4183	4988	6403	5077	6497	6634	5781	6478
BCAS2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM66D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A44P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-317E23.6	0	1	1	3	0	4	13	2	0	1	5	2	3	0
MTND1P35	0	0	0	1	0	0	0	0	1	0	0	0	0	0
RP11-567M21.3	0	2	0	2	1	1	3	3	1	1	0	0	2	0
PDCL2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000620.1	107	81	83	91	198	206	280	254	147	143	81	78	343	187
RP11-219O3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-712L6.5	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RP11-718B12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-680E19.2	31	63	12	33	4	14	176	33	43	48	15	36	160	5
RP11-47J17.1	0	0	1	1	0	0	0	0	1	1	2	1	1	0
RP11-145O15.3	4	5	10	28	15	26	5	9	11	11	12	25	4	50
OSBPL9P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA2-SAA4	68	67	111	38	36	24	39	78	86	55	100	47	48	7
PIGY	8	18	1	9	10	3	14	0	19	13	8	2	1	2
ZFP91-CNTF	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-140L24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPUP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2023J5.1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OR4X7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A6P	5	31	20	47	18	21	49	71	27	70	29	51	10	33
RP11-45A12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1082L8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-263C24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRM5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5AK1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-843A23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186192.5	91	36	488	481	553	314	361	345	322	276	483	491	310	165
RP11-336F14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-168K9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-23B7.4	1120	980	3185	2439	2586	1468	4141	3148	1748	1630	3306	2404	1894	1673
RP11-326C3.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR100HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-495O11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-58K22.4	1	2	43	1	75	6	0	0	23	18	68	13	6	35
RP11-794P6.2	0	2	0	0	0	0	0	0	1	3	0	0	0	2
RP11-406D1.2	0	0	0	0	0	3	1	0	0	1	2	1	0	0
OR1D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5B10P	1	2	2	17	3	12	0	4	5	5	1	7	1	0
RP11-5L12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-25D10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-21L23.3	15	27	11	23	19	15	4	15	24	45	22	43	12	24
RP11-412B14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-164N3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-5A11.1	1	17	7	21	6	28	2	37	14	10	16	21	2	21
RP11-58K22.2	0	0	4	2	0	0	0	0	0	1	1	2	0	0
RP11-159H10.1	25	29	113	27	74	36	148	238	47	44	101	77	69	13
AP006621.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2572N17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHMP1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A48P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-110I1.6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-91P24.3	4	4	25	47	12	28	0	3	31	40	90	75	14	8
SLC5A4P1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
RP5-1027O15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-703H8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-655M14.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OVOL1-AS1	43	53	110	90	137	158	96	275	73	83	102	108	15	47
RP11-110I1.12	0	1	0	1	1	1	0	0	0	0	0	0	0	0
RP11-303G3.6	9	36	60	63	32	31	54	106	35	30	41	27	18	228
MTND5P21	13	8	8	15	5	15	51	8	13	10	10	7	2	1
RP11-680F20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-685M7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2531D15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-676F20.2	268	167	357	177	280	128	349	166	510	209	294	128	299	100
HSPD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-839D17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-396J6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR9L1P	1	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-63C8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-646J21.2	128	76	101	189	62	164	70	57	80	135	93	81	47	126
